project;merge commit;class;original method;SdgCreated; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right
dropwizard;ddd15a681bf42360337844412cae4aba1556eb88;Bootstrap; void io.dropwizard.setup.Bootstrap.Bootstrap(Application<T>);not found;;;;;;;;;;;;;;;;;;
jenkins;48b2b951dfb3438999ceda330093cac82b857ce6;DefaultJnlpSlaveReceiver; boolean jenkins.slaves.DefaultJnlpSlaveReceiver.handle(String, JnlpSlaveHandshake);not found;;;;;;;;;;;;;;;;;;
logback;542843fd04a793fb9e0eea0c84d199e66d7c15af;TimeBasedFileNamingAndTriggeringPolicyBase; void ch.qos.logback.core.rolling.TimeBasedFileNamingAndTriggeringPolicyBase.start();not found;;;;;;;;;;;;;;;;;;
orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;Orient; Orient com.orientechnologies.orient.core.Orient.startup();not found;;;;;;;;;;;;;;;;;;
SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;BasicJanitorMonkeyContext; InstanceJanitor com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext.getInstanceJanitor();not found;;;;;;;;;;;;;;;;;;
SimianArmy;c39c19bc6b9231601f6bc7358e638a99adf37e0d;BasicSimianArmyContext; void com.netflix.simianarmy.basic.BasicSimianArmyContext.BasicSimianArmyContext(String);not found;;;;;;;;;;;;;;;;;;
alluxio;dafe76c90024a915224264b4862b33f40cb8478c;HdfsFileInputStream; void tachyon.hadoop.HdfsFileInputStream.HdfsFileInputStream(TachyonFS, int, Path, Configuration, int);not found;;;;;;;;;;;;;;;;;;
voldemort;b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997;VoldemortClientShell; void voldemort.VoldemortClientShell.VoldemortClientShell(ClientConfig, String, BufferedReader, PrintStream, PrintStream);not found;;;;;;;;;;;;;;;;;;
voldemort;4cc1c145819030c8e2baffe4c92383de14b8d880;VoldemortConfig; void voldemort.server.VoldemortConfig.VoldemortConfig(Props);not found;;;;;;;;;;;;;;;;;;
libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;Lwjgl3Application; Lwjgl3Window com.badlogic.gdx.backends.lwjgl3.Lwjgl3Application.newWindow(ApplicationListener, Lwjgl3WindowConfiguration);not found;;;;;;;;;;;;;;;;;;
libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;Lwjgl3ApplicationConfiguration; Lwjgl3ApplicationConfiguration com.badlogic.gdx.backends.lwjgl3.Lwjgl3ApplicationConfiguration.copy(Lwjgl3ApplicationConfiguration);not found;;;;;;;;;;;;;;;;;;
RxJava;a40a4130edcdadc2340da5787ca30353018173f2;OperatorMulticast; void rx.internal.operators.OperatorMulticast.connect(Action1<?superSubscription>);not found;;;;;;;;;;;;;;;;;;
RxJava;1c47b0cb26e6d971eefa42ebb3479099236b0125;TestScheduler; void rx.concurrency.TestScheduler.triggerActions(long);not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;MongoDBRiverDefinition; MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(String, String, RiverSettings, ScriptService);not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;Slurper; boolean org.elasticsearch.river.mongodb.Slurper.assignCollections();not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;MongoDBRiverDefinition; MongoDBRiverDefinition org.elasticsearch.river.mongodb.MongoDBRiverDefinition.parseSettings(String, String, RiverSettings, ScriptService);not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Indexer; Timestamp org.elasticsearch.river.mongodb.Indexer.applyAdvancedTransformation(QueueEntry, String);not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Indexer; Timestamp org.elasticsearch.river.mongodb.Indexer.processBlockingQueue(QueueEntry);not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper; void org.elasticsearch.river.mongodb.Slurper.run();not found;;;;;;;;;;;;;;;;;;
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper; void org.elasticsearch.river.mongodb.Slurper.addToStream(Operation, Timestamp<?>, DBObject, String);not found;;;;;;;;;;;;;;;;;;
hector;0588608e7a2bdf974c985ff546207104f672bf6c;HSaslThriftClient; HSaslThriftClient me.prettyprint.cassandra.connection.client.HSaslThriftClient.open();not found;;;;;;;;;;;;;;;;;;
hector;a33a46506656a39d1b0f7780973905665d3b6145;HKerberosThriftClient; HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open();not found;;;;;;;;;;;;;;;;;;
hector;a33a46506656a39d1b0f7780973905665d3b6145;HThriftClient; HThriftClient me.prettyprint.cassandra.connection.client.HThriftClient.open();not found;;;;;;;;;;;;;;;;;;
hector;213f7887ea70eabdf0705cf8454de29af89e8c38;HConnectionManager; void me.prettyprint.cassandra.connection.HConnectionManager.operateWithFailover(Operation<?>);not found;;;;;;;;;;;;;;;;;;
titan;387c16ea05ef9fa312f37139228d2bbf61455ff4;SerializerInitialization; void com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization.initialize(Serializer);not found;;;;;;;;;;;;;;;;;;
titan;04edd7f0e7eab2e8255a497922e34dc707d84c19;StandardTitanTx; void com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx.StandardTitanTx(StandardTitanGraph, TransactionConfiguration, BackendTransaction);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;SimpleFragment; ScatterData com.xxmassdeveloper.mpchartexample.fragments.SimpleFragment.generateScatterData(int, float, int);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;ScatterChartActivity; void com.xxmassdeveloper.mpchartexample.ScatterChartActivity.onProgressChanged(SeekBar, int, boolean);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;af114d180da6ec5633d32c701ff5467f7629fcf3;ScatterChartActivity; void com.xxmassdeveloper.mpchartexample.ScatterChartActivity.onCreate(Bundle);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;LineChartActivity2; void com.xxmassdeveloper.mpchartexample.LineChartActivity2.onCreate(Bundle);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;RadarChartActivitry; void com.xxmassdeveloper.mpchartexample.RadarChartActivitry.onCreate(Bundle);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;StackedBarActivityNegative; void com.xxmassdeveloper.mpchartexample.StackedBarActivityNegative.onCreate(Bundle);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;9297923f09460d0484cd713b0abbeaea9b888ec0;LineChartActivity1;void com.xxmassdeveloper.mpchartexample.LineChartActivity1.onCreate(Bundle);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;LineChartRenderer; void com.github.mikephil.charting.renderer.LineChartRenderer.drawData(Canvas);not found;;;;;;;;;;;;;;;;;;
MPAndroidChart;9531ba69895cd64fce48038ffd8df2543eeea1d2;PieChartRenderer; void com.github.mikephil.charting.renderer.PieChartRenderer.drawData(Canvas);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportIndexAction; WriteResult org.elasticsearch.action.index.TransportIndexAction.executeIndexRequestOnPrimary(IndexRequest, IndexShard, MappingUpdatedAction);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperationTests; void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication();not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;IndexSettings; void org.elasticsearch.index.IndexSettings.IndexSettings(IndexMetaData, Settings, Predicate<String>, IndexScopedSettings);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportShardBulkAction; Tuple org.elasticsearch.action.bulk.TransportShardBulkAction.update(IndexMetaData, BulkShardRequest, IndexShard, long[], VersionType[], Translog.Location, int, BulkItemRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportReplicationAction; void org.elasticsearch.action.support.replication.TransportReplicationAction.doRun();not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperation; Exception org.elasticsearch.action.support.replication.ReplicationOperation.execute();not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngineTests; void org.elasticsearch.index.engine.InternalEngineTests.testRecoverFromForeignTranslog();not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngine; void org.elasticsearch.index.engine.InternalEngine.InternalEngine(EngineConfig);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse; void org.elasticsearch.action.DocWriteResponse.writeTo(StreamOutput);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse; void org.elasticsearch.action.DocWriteResponse.readFrom(StreamInput);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse; XContentBuilder org.elasticsearch.action.DocWriteResponse.toXContent(XContentBuilder, Params);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;MetaDataCreateIndexService; void org.elasticsearch.cluster.metadata.MetaDataCreateIndexService.createIndex(CreateIndexClusterStateUpdateRequest, ActionListener<ClusterStateUpdateResponse>);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportUpdateAction; void org.elasticsearch.action.update.TransportUpdateAction.shardOperation(UpdateRequest, ActionListener<UpdateResponse>, int);not found;;;;;;;;;;;;;;;;;;
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportDeleteAction; WriteResult org.elasticsearch.action.delete.TransportDeleteAction.executeDeleteRequestOnPrimary(DeleteRequest, IndexShard);not found;;;;;;;;;;;;;;;;;;
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestNodesAction; Table org.elasticsearch.rest.action.cat.RestNodesAction.getTableWithHeader(RestRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestIndicesAction; Table org.elasticsearch.rest.action.cat.RestIndicesAction.getTableWithHeader(RestRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;3764b3ff800c94293aba0bb0fa18c7df80a764f7;RestShardsAction; Table org.elasticsearch.rest.action.cat.RestShardsAction.getTableWithHeader(RestRequest);not found;;;;;;;;;;;;;;;;;;
elasticsearch;0404db65e3497452886173957729c8e82cfd4a03;ESSingleNodeTestCase; Node org.elasticsearch.test.ESSingleNodeTestCase.newNode();not found;;;;;;;;;;;;;;;;;;
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;NestedInnerQueryParseSupport; void org.elasticsearch.index.query.support.NestedInnerQueryParseSupport.setPathLevel();not found;;;;;;;;;;;;;;;;;;
elasticsearch;59cb67c7bd0ab6311115b20954e013412b676b29;MultiMatchQueryBuilder; void org.elasticsearch.index.query.MultiMatchQueryBuilder.doXContent(XContentBuilder, Params);not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;SynonymsAnalysisTest; void org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest.testSynonymsAnalysis();not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests; void realistic.testCommonGramsAnalysis.source.org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis();not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests; void realistic.testCommonGramsAnalysis.source.org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testCommonGramsAnalysis();not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;KuromojiAnalysisTests; AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService();not found;;;;;;;;;;;;;;;;;;
elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;SimpleIndexQueryParserTests; void org.elasticsearch.index.query.SimpleIndexQueryParserTests.setup();not found;;;;;;;;;;;;;;;;;;
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactoryTest; void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setUp();not found;;;;;;;;;;;;;;;;;;
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactory; void fitnesse.testsystems.slim.tables.SlimTableFactory.SlimTableFactory();not found;;;;;;;;;;;;;;;;;;
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl; Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes();not found;;;;;;;;;;;;;;;;;;
spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;MongoProperties;Builder org.springframework.boot.autoconfigure.MongoProperties.builder(MongoClientOptions);not found;;;;;;;;;;;;;;;;;;
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests; void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrl();not found;;;;;;;;;;;;;;;;;;
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive; URL org.springframework.boot.loader.archive.ExplodedArchive.getUrl();not found;;;;;;;;;;;;;;;;;;
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory; DeploymentManager org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.createDeploymentManager(ServletContextInitializer);not found;;;;;;;;;;;;;;;;;;
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer; WebApplicationContext org.springframework.boot.context.SpringBootServletInitializer.createRootApplicationContext(ServletContext);not found;;;;;;;;;;;;;;;;;;
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer; WebApplicationContext org.springframework.boot.context.SpringBootServletInitializer.createRootApplicationContext(ServletContext);not found;;;;;;;;;;;;;;;;;;
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer; void org.springframework.boot.autoconfigure.AutoConfigurationReportLoggingInitializer.logAutoConfigurationReport(boolean);not found;;;;;;;;;;;;;;;;;;
spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;TomcatEmbeddedServletContainerFactory; void src.main.java.org.springframework.boot.context.embedded.TomcatEmbeddedServletContainerFactory.customizeConnector(Connector);not found;;;;;;;;;;;;;;;;;;
quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;OutOfTimeCrossValidatorRunner; PredictiveModelBuilder quickdt.experiments.OutOfTimeCrossValidatorRunner.getRandomForestBuilder(int, int);not found;;;;;;;;;;;;;;;;;;
